[2025-07-07 18:36:52,288] 17 root - INFO - Initiate data ingestion
[2025-07-07 18:37:01,196] 65 root - INFO - performed train test split on the dataframe
[2025-07-07 18:37:01,196] 66 root - INFO - Exited split_data_as_train_test_method of data_ingestion class
[2025-07-07 18:37:01,196] 72 root - INFO - Exporting train and test split
[2025-07-07 18:37:01,253] 77 root - INFO - Exported train and test split
[2025-07-07 18:37:01,253] 20 root - INFO - initiated completed
[2025-07-07 18:37:01,262] 23 root - INFO - initiate data validation
[2025-07-07 18:37:01,363] 33 root - INFO - Required number of columns: 2
[2025-07-07 18:37:01,363] 34 root - INFO - DataFrame has columns: 31
[2025-07-07 18:37:01,363] 33 root - INFO - Required number of columns: 2
[2025-07-07 18:37:01,363] 34 root - INFO - DataFrame has columns: 31
[2025-07-07 18:37:01,566] 25 root - INFO - initiated completed
[2025-07-07 18:37:01,566] 30 root - INFO - initiate data transformation
[2025-07-07 18:37:01,572] 60 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-07-07 18:37:01,572] 62 root - INFO - starting data transformation
[2025-07-07 18:37:01,607] 44 root - INFO - Entered get_data_transformer_object method of Transforamtion class
[2025-07-07 18:37:01,607] 49 root - INFO - Initializes with KNNIMPUTER: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-07-07 18:37:01,622] 39 root - INFO - entered the save_object method of mainutils class
[2025-07-07 18:37:01,622] 43 root - INFO - exited the save_object method of mainutils class
[2025-07-07 18:37:01,622] 32 root - INFO - initiated completed
