[2025-07-07 22:55:22,203] 17 root - INFO - Initiate data ingestion
[2025-07-07 22:55:39,419] 65 root - INFO - performed train test split on the dataframe
[2025-07-07 22:55:39,419] 66 root - INFO - Exited split_data_as_train_test_method of data_ingestion class
[2025-07-07 22:55:39,420] 72 root - INFO - Exporting train and test split
[2025-07-07 22:55:39,465] 77 root - INFO - Exported train and test split
[2025-07-07 22:55:39,466] 20 root - INFO - initiated completed
[2025-07-07 22:55:39,471] 23 root - INFO - initiate data validation
[2025-07-07 22:55:39,537] 33 root - INFO - Required number of columns: 2
[2025-07-07 22:55:39,537] 34 root - INFO - DataFrame has columns: 31
[2025-07-07 22:55:39,537] 33 root - INFO - Required number of columns: 2
[2025-07-07 22:55:39,537] 34 root - INFO - DataFrame has columns: 31
[2025-07-07 22:55:39,652] 25 root - INFO - initiated completed
[2025-07-07 22:55:39,653] 30 root - INFO - initiate data transformation
[2025-07-07 22:55:39,653] 60 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-07-07 22:55:39,653] 62 root - INFO - starting data transformation
[2025-07-07 22:55:39,672] 44 root - INFO - Entered get_data_transformer_object method of Transforamtion class
[2025-07-07 22:55:39,672] 49 root - INFO - Initializes with KNNIMPUTER: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-07-07 22:55:39,689] 41 root - INFO - entered the save_object method of mainutils class
[2025-07-07 22:55:39,692] 45 root - INFO - exited the save_object method of mainutils class
[2025-07-07 22:55:39,693] 32 root - INFO - initiated completed
[2025-07-07 22:55:39,694] 35 root - INFO - model training started
[2025-07-07 22:58:45,646] 41 root - INFO - entered the save_object method of mainutils class
[2025-07-07 22:58:45,688] 45 root - INFO - exited the save_object method of mainutils class
[2025-07-07 22:58:45,688] 117 root - INFO - modelTrainerArtifact ModelTrainerArtifacts(trained_model_file_path="Artifacts\\'07_07_2025_22_55_17'\\model_trainer\\trained_model\\model.pkl", train_metric_artifact=classificationMetricArtifact(f1_score=0.9906618778860954, precision_score=0.9899507793273175, recall_score=0.9913739987677141), test_metric_artifact=classificationMetricArtifact(f1_score=0.9906618778860954, precision_score=0.9899507793273175, recall_score=0.9913739987677141))
[2025-07-07 22:58:45,693] 40 root - INFO - model training completed
